ID,Name,CertRootType,CertRootValue,CertPublisher
ID_SIGNER_VERISIGN_2010,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,
ID_SIGNER_VERISIGN_2010_2,VeriSign Class 3 Code Signing 2010 CA,TBS,4678C6E4A8787A8E6ED2BCE8792B122F6C08AFD8,
ID_SIGNER_CAPCOM,Symantec Class 3 SHA256 Code Signing CA,TBS,A08E79C386083D875014C409C13D144E0A24386132980DF11FF59737C8489EB1,"CAPCOM Co.,Ltd."
ID_SIGNER_CHEAT_ENGINE,Microsoft Windows Third Party Component CA 2014 Cheat Engine OPUS,TBS,D8BE9E4D9074088EF818BC6F6FB64955E90378B2754155126FEEBBBD969CF0AE,
ID_SIGNER_ENE,Microsoft Windows Third Party Component CA 2014 ENE Tech OPUS,TBS,D8BE9E4D9074088EF818BC6F6FB64955E90378B2754155126FEEBBBD969CF0AE,
ID_SIGNER_MB_RB_HACKS,Microsoft Windows Third Party Component CA 2014 MB Rb online OPUS,TBS,D8BE9E4D9074088EF818BC6F6FB64955E90378B2754155126FEEBBBD969CF0AE,
ID_SIGNER_MAN_MUS,Microsoft Windows Third Party Component CA 2014 MANUEL OPUS,TBS,D8BE9E4D9074088EF818BC6F6FB64955E90378B2754155126FEEBBBD969CF0AE,
ID_SIGNER_DIGICERT_EV,DigiCert EV Code Signing CA (SHA2),TBS,EEC58131DC11CD7F512501B15FDBC6074C603B68CA91F7162D5A042054EDB0CF,
ID_SIGNER_ELBY,GlobalSign Primary Object Publishing CA,TBS,041750993D7C9E063F02DFE74699598640911AAB,Elaborate Bytes AG
ID_SIGNER_VERISIGN_2009,VeriSign Class 3 Code Signing 2009-2 CA,TBS,4CDC38C800761463749C3CBD94A12F32E49877BF,
ID_SIGNER_SANDRA,GeoTrust TrustCenter CodeSigning CA I,TBS,172F39BCA3DDA7C6D5169C96B34A5FE7E96FF0BD,SiSoftware Ltd
ID_SIGNER_SANDRA_THAWTE,Thawte Code Signing CA,TBS,F6297A00D3B2B4CE4750402B66E7EA018D54F683,SiSoftware Ltd
ID_SIGNER_MIMIKATZ_KERNEL,GlobalSign CodeSigning CA - G2,TBS,589A7D4DF869395601BA7538A65AFAE8C4616385,Benjamin Delpy
ID_SIGNER_MIMIKATZ_KERNEL_SHA2,GlobalSign CodeSigning CA - G2,TBS,F6CAE0B028995EB13B1C2CCE5B5107384AB7C77279AE5560933E345061D99CC0,Benjamin Delpy
ID_SIGNER_MIMIKATZ_USER,Certum Code Signing CA SHA2,TBS,F7B6EEB3A567223000A61F68C53B458193557C17E5D512D2825BCB13E5FC9BE5,"Open Source Developer, Benjamin Delpy"
ID_SIGNER_SPEEDFAN,VeriSign Class 3 Code Signing 2004 CA,TBS,C7FC1727F5B75A6421A1F95C73BBDB23580C48E5,Sokno S.R.L.
ID_SIGNER_RWEVERY,GlobalSign CodeSigning CA - G2,TBS,589A7D4DF869395601BA7538A65AFAE8C4616385,ChongKim Chan
